Entity,Year,avgTemperature
Cambodia,2020,27.73182
Cambodia,2019,28.10127
Cambodia,2018,27.74861
Cambodia,2017,27.58451
Cambodia,2016,28.11979
Cambodia,2015,28.09335
Cambodia,2014,27.5528
Cambodia,2013,27.57497
Cambodia,2012,27.88157
Cambodia,2011,27.20278
Cambodia,2010,27.98415
Cambodia,2009,27.03861
Cambodia,2008,26.94822
Cambodia,2007,27.20993
Cambodia,2006,27.50211
Cambodia,2005,27.44314
Cambodia,2004,27.4816
Cambodia,2003,27.58197
Cambodia,2002,27.78779
Cambodia,2001,27.40717
Cambodia,2000,26.98932
Cambodia,1999,26.5413
Cambodia,1998,28.0133
Cambodia,1997,27.19471
Cambodia,1996,26.86169
Cambodia,1995,27.15394
Cambodia,1994,26.94256
Cambodia,1993,26.64631
Cambodia,1992,27.0196
Cambodia,1991,27.25
Cambodia,1990,27.25814
Cambodia,1989,26.89605
Cambodia,1988,27.07575
Cambodia,1987,27.30583
Cambodia,1986,26.67451
Cambodia,1985,26.73441
Cambodia,1984,26.72061
Cambodia,1983,27.08675
Cambodia,1982,26.64311
Cambodia,1981,26.84977