Country,Year,Annual_CO2_Emmision
Myanmar,2020,34609780
Myanmar,2019,33616924
Myanmar,2018,34016840
Myanmar,2017,23630088
Myanmar,2016,21140418
Myanmar,2015,21887144
Myanmar,2014,15849346
Myanmar,2013,12722151
Myanmar,2012,11818522
Myanmar,2011,15121961
Myanmar,2010,13121587
Myanmar,2009,10207303
Myanmar,2008,9772056
Myanmar,2007,12841137
Myanmar,2006,12813455
Myanmar,2005,11555010
Myanmar,2004,12565488
Myanmar,2003,9997118
Myanmar,2002,9328067
Myanmar,2001,8855704
Myanmar,2000,10219368
Myanmar,1999,8933607
Myanmar,1998,8046166.5
Myanmar,1997,7419640
Myanmar,1996,7187982
Myanmar,1995,6892622
Myanmar,1994,6173965
Myanmar,1993,5303029
Myanmar,1992,4841915
Myanmar,1991,4137416
Myanmar,1990,4235719
Myanmar,1989,4425299
Myanmar,1988,4086656
Myanmar,1987,4943397
Myanmar,1986,6756346
Myanmar,1985,6675517
Myanmar,1984,6548548
Myanmar,1983,5753767
Myanmar,1982,5579515
Myanmar,1981,5622979