Year,Annual_CO2_Emmision
2020,363342660
2019,341788800
2018,257722290
2017,229642500
2016,223203940
2015,215461950
2014,181842880
2013,151437980
2012,144277150
2011,152560270
2010,139563840
2009,124493390
2008,114302696
2007,101429540
2006,99652260
2005,95845720
2004,88939180
2003,77261570
2002,69527790
2001,60983830
2000,53935468
1999,48548324
1998,47866350
1997,45502070
1996,35481510
1995,30088820
1994,27362152
1993,22853002
1992,21466460
1991,21375534
1990,21298646
1989,17397910
1988,23072536
1987,23296900
1986,20584666
1985,21097420
1984,17495162
1983,19269692
1982,18341628
1981,17695406