Country,Year,Annual CO2 emissions(Tons)
Malaysia,2020,269248670
Malaysia,2019,267494290
Malaysia,2018,262207180
Malaysia,2017,244105580
Malaysia,2016,236817360
Malaysia,2015,235505740
Malaysia,2014,245049710
Malaysia,2013,241671090
Malaysia,2012,212989970
Malaysia,2011,203452350
Malaysia,2010,199346100
Malaysia,2009,192119070
Malaysia,2008,192847060
Malaysia,2007,175450780
Malaysia,2006,170166450
Malaysia,2005,169967330
Malaysia,2004,169678300
Malaysia,2003,153384340
Malaysia,2002,132035230
Malaysia,2001,130890050
Malaysia,2000,122878050
Malaysia,1999,103986550
Malaysia,1998,109781690
Malaysia,1997,119628820
Malaysia,1996,110632800
Malaysia,1995,110840970
Malaysia,1994,88036030
Malaysia,1993,86718630
Malaysia,1992,72961016
Malaysia,1991,65785132
Malaysia,1990,54269364
Malaysia,1989,50083868
Malaysia,1988,42869204
Malaysia,1987,40877684
Malaysia,1986,40101890
Malaysia,1985,36329770
Malaysia,1984,34794430
Malaysia,1983,38048304
Malaysia,1982,30641940
Malaysia,1981,30877660